,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3261,603336,宏辉果蔬,农业综合,广东,62.54,0.69,1.73,81624.9,61001.88,11241.96,24923.85,1.44,0.193,4.53,5.34,20161124,34298.05,1.98,3.14,-4.02,16.13,9.77,34057.0
3262,600590,泰豪科技,电气设备,江西,24.0,8.13,8.66,1059064.63,671148.56,60668.3,250358.27,2.89,0.17,4.37,1.46,20020703,58272.06,0.67,55.0,70.69,20.36,5.48,37595.0
3263,002419,天虹股份,百货,深圳,12.75,12.0,12.0,1445690.5,743452.75,378442.13,130909.15,1.09,0.40399999999999997,5.12,2.01,20100601,323567.97,2.7,6.02,29.52,26.6,5.1,17459.0
3264,300745,欣锐科技,汽车配件,深圳,64.05,0.29,1.15,148086.75,134331.97,8494.41,60588.86,5.29,0.48,9.09,5.38,20180523,29036.49,2.54,0.0,0.0,28.91,14.82,22219.0
3265,600150,*ST船舶,船舶,上海,37.95,13.78,13.78,4822079.0,3214913.5,821680.75,657304.94,4.77,0.14800000000000002,10.74,1.04,19980520,621449.0,4.51,-10.53,1176.09,11.1,2.66,138023.0
3266,002717,岭南股份,环境保护,广东,12.0,5.31,10.03,1362685.75,893183.19,28744.36,136888.47,1.36,0.386,3.95,2.34,20140219,147741.09,1.47,111.91,93.06,26.69,10.88,29712.0
3267,603712,七一二,通信设备,天津,158.69,1.0,7.72,380033.88,311316.16,55395.0,93482.92,1.21,0.069,2.7,8.12,20180226,33303.7,0.43,1.44,0.85,44.63,8.67,74120.0
3268,300511,雪榕生物,种植业,上海,57.5,2.34,4.34,383131.88,69554.0,232059.84,42968.34,0.99,0.07200000000000001,3.28,2.52,20160504,54140.46,1.25,71.87,-22.6,5.35,3.86,24360.0
3269,002931,锋龙股份,汽车配件,浙江,69.15,0.22,0.89,55594.86,40732.81,10841.25,26123.13,2.94,0.26,5.3,5.95,20180403,11295.78,1.27,0.0,0.0,32.1,13.05,16280.0
3270,300364,中文在线,出版业,北京,50.27,5.36,7.76,459628.75,156809.98,12609.4,265251.41,3.42,0.067,4.82,1.4,20150121,31213.23,0.4,42.66,140.8,48.9,12.3,45144.0
3271,603959,百利科技,建筑施工,湖南,33.44,1.49,3.14,258865.45,220761.72,4492.62,18044.78,0.58,0.252,3.3,5.12,20160517,49501.51,1.58,59.13,280.92,43.12,20.43,10365.0
3272,300586,美联新材,化工原料,广东,55.77,0.61,2.4,91355.32,64216.31,11088.42,14553.13,0.61,0.11599999999999999,2.37,5.45,20170104,16106.98,0.67,33.72,6.77,20.37,10.84,16135.0
3273,002829,星网宇达,通信设备,北京,143.24,0.62,1.6,164293.97,88235.8,24176.9,44863.96,2.8,0.08,5.29,3.96,20161213,31724.53,1.98,60.43,-39.35,50.9,6.7,23370.0
3274,300299,富春股份,通信设备,福建,83.29,5.84,7.41,223314.7,63046.23,2522.2,47962.12,0.65,0.027999999999999997,1.72,2.76,20120319,4064.96,0.05,-1.6,-74.09,58.36,8.07,31378.0
3275,002769,普路通,仓储物流,深圳,24.09,2.36,3.76,1852399.0,1816672.75,1057.07,29472.85,0.78,0.19699999999999998,3.51,2.7,20150629,61634.61,1.64,4.73,-21.31,9.17,3.18,41079.0
