cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
教育,17367,b82642536196fec7650bb15aa8b7573e.png,阿凡题,北京,1,,2,15,6000,12.00,12,3,2015,B轮
文化娱乐,59061,cdd07fd0e9c96dd1e9b7ed608701d381.jpg,乐漾影视,北京,115,,1,23,--,12.00,2,2,2017,A轮
电子商务,16651,0099678c641e7ddc8fc11c8412fc691f.jpg,找塑料,广东,145,,2,28,3600,12.00,7,3,2015,B轮
硬件,29013,a809c0faa3abbe11dee26164cea3542c.png,Appier,台湾,103,,2,30,3300,11.70,8,4,2017,C轮
广告营销,6121,archive/6121.png,WiWide迈外迪,北京,95,,1,8,30000,11.50,12,4,2014,C轮
企业服务,3093,6a5df97a38e7a9b3b98ddb7ac5642f24.png,EC六度人和,广东,126,,1,30,17000,11.50,5,4,2016,C轮
教育,8810,95081d4f018c778eee820de49be61989.png,智课网SmartStudy,北京,1,,1,1,20000,11.50,11,16,2017,B+轮
房产服务,16708,3a647622cb8fb173602a63b8f5f2ce6f.jpg,爱空间,北京,38,,1,28,21600,11.00,6,4,2017,C轮
硬件,44386,b030db77bdcc1fa0e4502f9a8e93d7b3.jpg,钛米机器人,上海,103,,1,17,20000,10.50,7,3,2018,B轮
硬件,33382,98e4e16f29053e31ba79b09139657177.jpg,九爱科技,浙江,103,,1,13,21000,10.50,11,2,2017,A轮
硬件,52315,9335f7440e0bdd99df78a21cdcf8411f.png,玖锦科技,四川,103,,1,11,11000,10.50,9,11,2018,战略投资
汽车交通,12009,bda2618c246dc4ae0d43e0ac0360547c.png,广联赛讯,广东,28,,1,1,15000,10.50,6,2,2016,A轮
医疗健康,58683,d70363a0120dfc9f31ecf1d3090ed33d.png,臻和科技,北京,47,,1,11,21000,10.50,2,4,2018,C轮
房产服务,23393,21be2c8127ffdd1a7bcfede1091f51ba.png,优办网,北京,38,,2,17,3000,10.40,9,3,2016,B轮
电子商务,28205,9d3c8f01253fc6923fb77d46b8d0675b.jpg,MashaMa,上海,145,,2,31,4000,10.40,1,3,2018,B轮
体育运动,54357,df78e9f090417f393c43be7f9b06574e.jpg,咕噜咕噜,上海,210,,2,9,3800,10.40,12,2,2016,A轮
房产服务,20020,e164863f55e878c307bb4080e4072944.jpg,美丽屋,天津,38,,2,21,3000,10.40,1,3,2016,B轮
工具软件,132,0b4606d79d5c1c51148fae6f47e62ed2.jpg,随身云,北京,161,,2,13,2500,10.40,11,3,2014,B轮
金融,19299,68f2324663762fac52223e03273cf2d6.jpg,全民财富,上海,12,,2,24,--,10.40,8,3,2017,B轮
电子商务,15648,857d9c85595492f791dfe5d887fe0a32.jpg,大V店,北京,145,,2,6,--,10.40,4,4,2017,C轮
文化娱乐,44549,4875a10880928a2c56769aa899e48c9d.png,IMAX爱麦克斯,上海,115,,2,11,5000,10.40,11,11,2016,战略投资
企业服务,9653,archive/9653.png,宝库在线,北京,126,,2,25,--,10.40,8,3,2015,B轮
房产服务,31981,19f8fac34cc41f387dd1615cba7df52c.jpg,悟空找房,上海,38,,2,11,--,10.40,4,4,2017,C轮
企业服务,4322,97f79053430782d50bbb623fed377b96.png,CC视频,北京,126,,1,9,20800,10.40,11,4,2017,C轮
汽车交通,34485,64407c237150c515844125339b469ecf.jpg,精真估,北京,28,,2,1,3000,10.40,3,3,2016,B轮
硬件,25465,2ccf010b83942ba60054afdc0bc54144.png,FIIL耳机,北京,103,,2,31,2000,10.40,12,2,2015,A轮
企业服务,24460,ad45d5c768f5127a5a236ddf35a64ae2.png,GrowingIO,北京,126,,2,28,2000,10.40,6,2,2016,A轮
本地生活,21853,d786eea5557d95660236a1050c64b2b2.png,16WiFi一路热点,北京,70,,1,20,30000,10.00,6,3,2016,B轮
社交网络,1873,477b946154599f03b17be4d23cb955e0.jpg,生日管家,北京,135,,1,2,--,10.00,4,3,2018,B轮
电子商务,63461,592f94f42718667e86c3fd959880e727.png,小e微店,北京,145,,1,11,20000,10.00,10,3,2017,B轮
本地生活,32675095,18819d36d7476093e9d30c272e449c40.png,每一天便利,陕西,70,,1,9,20000,10.00,3,1,2018,天使轮
汽车交通,61432,01ad8e3666f216243a406e1094d6b244.jpg,中安金控,浙江,28,,1,15,22000,10.00,5,2,2017,A轮
农业,26739,0688520796690483f6bfd8e79d6a32aa.png,大丰收农资商城,广东,258,,1,22,20000,10.00,6,3,2017,B轮
教育,64437,ac70b2ad465e465ef76efa93c290a726.png,超神互动,浙江,1,,1,13,30000,10.00,6,11,2017,战略投资
本地生活,17542,f3e4e05943b57325ad288b5537d60382.jpg,闪修侠,浙江,70,,1,3,8000,10.00,9,16,2018,B+轮
本地生活,60651,4501ab4f805f244e24748f110d2f549e.jpg,怪兽充电,上海,70,,1,23,20000,10.00,11,3,2017,B轮
金融,8187,archive/8187.jpg,格上理财,北京,12,,1,21,10000,10.00,4,2,2016,A轮
